246,228
246,267
250,305
255,340
272,374
298,408
323,434
353,456
388,464
418,456
443,430
465,400
478,370
490,335
499,301
499,267
503,233
285,220
306,211
332,207
358,211
383,215
413,211
435,207
452,198
473,198
490,211
396,233
396,254
396,280
400,301
370,323
383,323
396,327
409,323
418,318
310,237
328,233
340,233
358,237
340,241
328,241
422,237
439,228
452,228
465,233
452,237
439,237
345,374
366,361
388,357
396,361
405,357
418,361
430,374
418,391
405,404
392,408
379,404
362,396
353,374
383,370
396,370
405,366
422,374
405,387
392,387
383,387
