246,237
246,275
246,314
255,353
272,387
298,421
323,451
353,473
388,481
418,473
443,447
460,413
473,374
486,340
490,305
495,271
499,241
289,211
310,194
332,194
353,198
375,211
418,215
435,207
456,203
473,203
490,211
396,237
396,258
396,284
400,305
370,323
383,327
396,331
409,327
418,323
310,241
328,237
340,237
358,245
340,245
328,245
422,241
439,233
452,233
465,237
452,241
439,241
345,387
366,370
388,361
396,361
409,361
422,366
426,383
422,408
405,421
392,426
379,426
358,413
353,387
383,374
396,374
405,370
422,383
405,404
392,404
379,404
